DATE_ID,DATE_CD,MONTH_VALUE,YEAR_VALUE,QUARTER_VALUE,create_date,update_date
419,2019-01-01,1,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
420,2019-02-01,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
421,2019-02-02,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
422,2019-02-03,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
423,2019-02-04,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
424,2019-02-05,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
425,2019-02-06,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
426,2019-02-07,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
427,2019-02-08,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
428,2019-02-09,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
429,2019-02-10,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
430,2019-02-11,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
431,2019-02-12,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
432,2019-02-13,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
433,2019-02-14,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
434,2019-02-15,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
435,2019-02-16,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
436,2019-02-17,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
437,2019-02-18,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
438,2019-02-19,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
439,2019-02-20,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
440,2019-02-21,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
441,2019-02-22,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
442,2019-02-23,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
443,2019-02-24,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
444,2019-02-25,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
445,2019-02-26,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
446,2019-02-27,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
447,2019-02-28,2,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
448,2019-03-01,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
449,2019-03-02,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
450,2019-03-03,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
451,2019-03-04,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
452,2019-03-05,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
453,2019-03-06,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
454,2019-03-07,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
455,2019-03-08,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
456,2019-03-09,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
457,2019-03-10,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
458,2019-03-11,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
459,2019-03-12,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
460,2019-03-13,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
461,2019-03-14,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
462,2019-03-15,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
463,2019-03-16,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
464,2019-03-17,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
465,2019-03-18,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
466,2019-03-19,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
467,2019-03-20,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
468,2019-03-21,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
469,2019-03-22,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
470,2019-03-23,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
471,2019-03-24,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
472,2019-03-25,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
473,2019-03-26,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
474,2019-03-27,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
475,2019-03-28,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
476,2019-03-29,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
477,2019-03-30,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
478,2019-03-31,3,2019,1,2024-11-28 20:01:50,2024-11-28 20:01:50
479,2019-04-01,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
480,2019-04-02,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
481,2019-04-03,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
482,2019-04-04,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
483,2019-04-05,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
484,2019-04-06,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
485,2019-04-07,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
486,2019-04-08,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
487,2019-04-09,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
488,2019-04-10,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
489,2019-04-11,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
490,2019-04-12,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
491,2019-04-13,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
492,2019-04-14,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
493,2019-04-15,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
494,2019-04-16,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
495,2019-04-17,4,2019,2,2024-11-28 20:01:50,2024-11-28 20:01:50
